match_id,match_date,home,away,market,decimal_odds,stake_pct,stake_amount,placed_date,status,pnl,closing_odds,clv,pinnacle_ref_odds,source,model_prob
689096c8cd7e2753b9fec95321943c5d,2026-06-17,England,Croatia,o/u2.5_under,1.79,0.15,15.0,2026-06-11,void,0.0,1.79,,,value,
8756200e539155e571557c4f2e0d7f05,2026-06-28,Algeria,Austria,home,3.85,0.15,15.0,2026-06-11,void,0.0,3.85,,,value,
852a3abe6d46820720febc0fedebff9a,2026-06-21,Uruguay,Cape Verde,draw,4.75,0.15,15.0,2026-06-11,void,0.0,4.75,,,value,
f955d4b3395ce6e3b5ac1031ca52ca4e,2026-06-20,Turkey,Paraguay,away,3.6,0.15,15.0,2026-06-11,void,0.0,3.55,,,value,
c9ef5822ee64fd5275f7c73251bb56c7,2026-06-24,Switzerland,Canada,away,3.69,0.15,15.0,2026-06-11,void,0.0,3.69,,,value,
384cbb5d76b535896a24fe65f93cfac8,2026-06-12,South Korea,Czechia,o/u2.5_over,2.15,0.114,11.4,2026-06-12,won,13.11,,,,value,
a84f52fd74f98ad89ff2bcfa278ad5ca,2026-06-12,Canada,Bosnia and Herzegovina,home,1.8,0.08,8.0,2026-06-12,lost,-8.0,23.0,,,value,
5a7ad4083801bcd19485ac982fd435e7,2026-06-13,United States,Paraguay,o/u2.5_over,2.45,0.15,15.0,2026-06-12,won,21.75,2.6,-0.0577,,value,
44b678839de3bf56d822c93877fec120,2026-06-13,Brazil,Morocco,o/u2.5_over,0.0,0.1000,10.0,2026-06-14,lost,-10.0,,,,value,
ca13c579cd8a0175f30056f4aff04ca4,2026-06-13,Switzerland,Qatar,ah-1.0_home,0.0,0.1186,11.86,2026-06-14,lost,-11.86,,,,value,
3497deb1533ad37f48790baf3316e2eb,2026-06-14,Haiti,Scotland,away,1.5,0.1500,15.0,2026-06-14,won,7.5,,,,value,
f543f939bbc965eda1ec451fb4e2bdde,2026-06-15,Belgium,Egypt,draw,4.1200,0.0,9.42,2026-06-15,won,29.39,1.6600,,,value,
f543f939bbc965eda1ec451fb4e2bdde,2026-06-15,Belgium,Egypt,o/u2.5_under,1.9600,0.0,15.00,2026-06-15,won,14.4,1.9100,,,value,
5cd7c156d6791429e020b8bbc852fb1d,2026-06-15,Saudi Arabia,Uruguay,ah+1.5_home,1.6500,0.0,15.00,2026-06-15,won,9.75,0.0,,,value,
fa530ba24aba29191e85bdaf4abb5837,2026-06-16,Iran,New Zealand,ah-1.5_home,3.3000,0.0,10.00,2026-06-15,lost,-10.0,0.0,,,value,0.000000
fa530ba24aba29191e85bdaf4abb5837,2026-06-16,Iran,New Zealand,o/u2.5_over,2.3200,0.0,14.00,2026-06-15,won,18.48,0.0,,,value,0.000000
5cd7c156d6791429e020b8bbc852fb1d,2026-06-15,Saudi Arabia,Uruguay,o/u3.0_under,1.6800,0.0,15.00,2026-06-15,won,10.20,0.0,,,value,0.000000
d46ffa055d4550e9a7c70d41e3ffe68c,2026-06-16,France,Senegal,o/u2.5_under,2.0500,0.0,11.44,2026-06-16,open,0.0,2.2200,,,value,0.000000
d46ffa055d4550e9a7c70d41e3ffe68c,2026-06-16,France,Senegal,ah+1.5_away,1.6200,0.0,15.00,2026-06-16,open,0.0,1.6400,,,value,0.000000
